X:FY_Bushing-L1(N),Y:FY_Bushing-L1(N),Y:FY_Bushing-L2(N),Y:FY_Bushing-L3(N),Y:FY_Bushing-L4(N),Y:FY_Bushing-L5(N),Y:FY_Bushing-R1(N),Y:FY_Bushing-R2(N),Y:FY_Bushing-R3(N),Y:FY_Bushing-R4(N),Y:FY_Bushing-R5(N),Y:Pos1_Relative-ê¸°ë³µ?Œì „(deg),Y:Pos1_Relative-? íšŒ?Œì „(deg),Y:Pos_TY-?¸ì–‘ë¬?mm)
0.010229,555.1302,4509.5749,12014.678,22778.594,36509.481,839.51896,5246.0278,13167.811,24312.967,38389.594,-9.41E-05,-3.28E-26,7288.7471
0.020253,209238.02,221559.95,233944.49,246364.32,258792.14,227894.07,240184.29,252495.68,264801.69,277075.75,-0.000368667,2.53E-24,7288.6725
0.030253,350291.27,347563.69,344823.8,342071.97,339308.55,367681.82,364924.45,362151.09,359362.16,356558.07,-0.000822058,9.25E-25,7288.6047
0.040253,226435.48,256806.55,287088.13,316880.55,345784.12,229295.79,259683.34,289943.51,319676.29,348481.71,-0.00145436,-1.68E-26,7288.5689
0.050253,220110.44,203867.54,187802.35,171977.78,156456.74,212750.58,196614.92,180684.38,165021.47,149688.69,-0.002265213,4.19E-25,7288.4786
0.060253,75298.479,104826.46,137430.06,172359.39,208864.58,65821.387,94192.807,125921.89,160251.38,196424.03,-0.003254257,2.94E-26,7288.4169
0.070253,170354.43,154748.59,139522.06,124739.25,110464.57,163807.15,148380.92,133359.17,118805.94,104785.25,-0.004421132,-4.92E-25,7288.2729
0.080253,110782.44,139721.58,170415.54,202356.36,235036.08,108249.19,137048.08,167652.78,199553.02,232238.52,-0.005765477,4.47E-25,7288.1617
0.090253,218768.54,208920.41,199130.26,189412.06,179779.79,222410.01,212510.7,202664.63,192885.9,183188.64,-0.007286934,2.09E-26,7287.9851
0.100253,165561,188202.06,211335.96,234776.45,258337.3,169739.52,192478.27,215674.85,239143.21,262697.32,-0.008985141,7.42E-27,7287.8337
0.110253,205965.29,205598.98,205232.76,204866.63,204500.59,211338.82,210934.62,210530.51,210126.5,209722.58,-0.010859739,9.09E-26,7287.6374
0.120253,165983.9,179528.25,193276.16,207187.21,221220.98,169630.41,183221.08,197004.04,210938.99,224985.61,-0.012910368,1.30E-26,7287.445
0.130253,166447.14,174943.87,183526.49,192184.94,200909.18,169382.77,177898.01,186495.44,195165.03,203896.79,-0.015136668,-1.63E-28,7287.2246
0.140253,169541.33,175141.68,180779.09,186450.69,192153.63,172167.09,177772.37,183413.19,189086.74,194790.15,-0.017538279,-5.03E-27,7286.9872
0.150253,152107.96,167661.53,183541.37,199683,216021.9,154251.95,169854.11,185773.55,201945.76,218306.25,-0.020114841,1.72E-26,7286.7391
0.160253,189255.38,188332.01,187409.45,186487.69,185566.75,192429.98,191481.67,190534.16,189587.45,188641.56,-0.022865994,5.35E-27,7286.459
0.170253,148729.3,169560.02,190963.51,212784.22,234866.59,151041.72,171947.58,193408.83,215269.84,237375,-0.025791378,3.10E-27,7286.1832
0.180253,201890.88,196505.86,191143.89,185807.34,180498.56,205572.75,200143.69,194736.35,189353.12,183996.37,-0.028890632,3.71E-28,7285.8642
0.190253,142905.83,166569.24,191011.01,215998.29,241298.23,145150.62,168905.25,193416.05,218450.02,243774.14,-0.032163397,-1.40E-28,7285.5591
0.200253,203332.16,196220.64,189149.53,182124.24,175150.17,207041.44,199879.71,192755.94,185675.6,178644.17,-0.035609314,5.57E-28,7285.2039
0.210253,140403.55,164373.34,189169.9,214548.42,240264.1,142574.37,166637.38,191504.95,216932.07,242673.71,-0.039228021,4.95E-28,7284.8662
0.220253,200776.9,194623.05,188500.47,182412.68,176363.2,204438.41,198237.5,192066.08,185927.72,179825.98,-0.043019159,1.66E-28,7284.4775
0.230253,144606.37,166727.18,189524.73,212809.7,236392.76,146927.15,169133.1,191995.81,215325.84,238933.76,-0.046982368,-2.91E-28,7284.1045
0.240253,195341.1,192336.13,189338.98,186350.06,183369.78,198926.36,195885.72,192852.54,189827.24,186810.26,-0.051117288,-2.88E-28,7283.6851
0.250253,152364.17,170926.4,189932.1,209272.45,228838.62,154920.32,173550.01,192607.98,211985.41,231573.5,-0.055423558,6.39E-28,7283.275
0.260253,186273.97,187832.43,189393.18,190956.18,192521.35,189667.2,191208.98,192752.87,194298.82,195846.76,-0.05990082,-1.18E-28,7282.827
0.270253,161205.97,175175.78,189378.58,203769.23,218302.6,163993.4,178007.14,192244.61,206660.72,221210.42,-0.064548713,1.32E-28,7282.3787
0.280253,175664.8,182282.45,188946.06,195651.03,202392.76,178808.71,185433.34,192101.56,198808.79,205550.44,-0.069366876,2.68E-30,7281.903
0.290253,170476.21,179619.96,188855.84,198171.52,207554.66,173494.34,182657.59,191908.67,201235.29,210625.17,-0.07435495,-1.29E-28,7281.4163
0.300253,166064.19,177400.34,188883.88,200491,212197.93,168970.76,180337.5,191845.26,203470.32,215188.96,-0.079512576,2.42E-28,7280.913
0.310253,179124.08,183955.27,188810.21,193687.13,198584.23,182331.12,187160.82,192012.94,196885.71,201777.37,-0.084839392,9.48E-28,7280.3885
0.320253,158693.76,173781.37,189147.41,204734.57,220485.56,161376.45,176513.38,191918.32,207534.01,223303.19,-0.090335039,-3.97E-28,7279.8569
0.330253,185698.64,187331.74,188967.38,190605.5,192246.04,188986.71,190604.04,192223.72,193845.69,195469.87,-0.095999156,2.57E-28,7279.2959
0.340253,154061.42,171552.68,189433.18,207612.32,225999.51,156528.71,174079.82,192007.21,210220.28,228628.48,-0.10183139,7.09E-30,7278.7349
0.350253,189321.22,189237.69,189154.18,189070.67,188987.16,192559.53,192453.77,192348.03,192242.29,192136.56,-0.10783136,-4.34E-28,7278.1391
0.360253,152407.66,170820.12,189669.58,208849.79,228254.54,154685.12,173159.04,192056.69,211271.83,230698.21,-0.11399874,-9.99E-29,7277.5471
0.370253,189815.06,189584.13,189353.25,189122.42,188891.65,192891.2,192638.63,192386.1,192133.63,191881.22,-0.12033314,1.69E-28,7276.9185
0.380253,153568.37,171496.38,189833.93,208483.37,227347.02,155698.52,173682.45,192064.24,210746.21,229630.66,-0.12683421,1.22E-28,7276.2941
