X:FY_Bushing-L1(N),Y:FY_Bushing-L1(N),Y:FY_Bushing-L2(N),Y:FY_Bushing-L3(N),Y:FY_Bushing-L4(N),Y:FY_Bushing-L5(N),Y:FY_Bushing-R1(N),Y:FY_Bushing-R2(N),Y:FY_Bushing-R3(N),Y:FY_Bushing-R4(N),Y:FY_Bushing-R5(N),Y:Pos1_Relative-기복회전(deg),Y:Pos1_Relative-선회회전(deg),Y:Pos_TY-인양물(mm),Y:Pos_ROLL-하부체(deg),Y:Pos_PITCH-하부체(deg),Y:Pos_YAW-하부체(deg)
0.00000000,0.00000000,-1.5776208e-24,-1.5776208e-24,-1.5776208e-24,-1.5776208e-24,1.5013328e-14,1.5013328e-14,1.5013328e-14,1.5013328e-14,1.5013328e-14,0.00000000,-0.00000000,7288.7515,0.00000000,-0.00000000,0.00000000
0.010229000,188796.88,104774.65,39312.211,3519.2344,-2.0855819,197847.17,112449.17,44565.823,5359.4118,-2.1321080,-3.1368327e-05,-1.7347868e-26,7288.6823,2.8528704e-05,-4.0612311e-05,-0.00038920617
0.020253000,499393.31,477124.06,428445.37,361116.42,282896.39,499998.97,485270.91,442165.08,378435.51,301901.08,-0.00012288905,-6.3981771e-26,7288.6189,4.1081578e-05,-0.00018352033,-0.00034555890
0.030253000,235713.86,281201.21,325765.08,368059.88,406740.03,233731.31,279282.24,323964.67,366428.20,405322.43,-0.00027401943,9.3771090e-26,7288.6877,-1.0665312e-05,-0.00044465171,0.00019251483
0.040253000,343711.19,226191.92,113525.67,30064.812,0.63718197,330660.56,212443.85,101899.71,23388.937,0.69914033,-0.00048478676,1.1609215e-25,7288.6103,2.7115737e-06,-0.00077464111,-0.00050505723
0.050253000,113400.38,110812.66,108244.26,105695.59,103167.05,102390.20,99958.928,97547.532,95156.377,92785.833,-0.00075507106,3.3062365e-24,7288.6449,-1.6882311e-05,-0.0012128433,-1.2590940e-05
0.060253000,251114.53,225145.93,199416.72,174177.02,149676.91,251602.97,225605.77,199844.00,174568.53,150030.25,-0.0010847523,-3.0453024e-25,7288.5856,5.2326067e-06,-0.0017210602,-0.00010985443
0.070253000,436732.29,360692.07,270338.09,177432.98,93739.382,447156.49,374467.05,285467.64,191992.29,105875.05,-0.0014737106,8.8130205e-26,7288.5006,3.7262966e-05,-0.0023049817,-0.00039681201
0.080253000,124538.09,176289.21,231379.49,287302.83,341553.13,131586.40,183960.72,239318.23,295153.32,348960.35,-0.0019218257,-2.1118168e-26,7288.5397,6.8283278e-07,-0.0029846593,0.00023664869
0.090253000,424344.88,313255.86,187528.98,76254.892,8524.2597,433374.10,325103.60,199327.28,85272.181,12165.375,-0.0024289779,-1.9904822e-25,7288.3988,3.8962208e-05,-0.0037006264,-0.00053644570
0.10025300,124249.79,154433.67,186160.33,218904.26,252139.95,124755.02,154994.23,186769.12,219552.96,252819.00,-0.0029950470,-4.7043098e-26,7288.4269,-5.1137772e-06,-0.0045042240,0.00014067837
0.11025300,331512.81,269801.89,206970.72,146582.41,92200.095,334554.05,272917.33,209980.49,149319.90,94511.964,-0.0036199131,-6.1928216e-26,7288.3109,1.5383803e-05,-0.0053332220,-0.00026634962
0.12025300,324356.56,269476.85,213731.46,159601.68,109568.79,327091.47,272253.48,216423.67,162092.57,111750.73,-0.0043034561,2.6151000e-28,7288.2454,1.3659247e-05,-0.0062110425,-0.00023608477
0.13025300,152515.34,176457.61,201079.42,226149.89,251438.13,153203.62,177186.05,201842.04,226940.24,252249.26,-0.0050455562,4.7329042e-27,7288.2155,-3.4898880e-06,-0.0071256962,0.00010694004
0.14025300,414715.46,311450.01,196297.36,91510.336,19341.740,421325.83,319682.29,204484.77,98079.712,22813.542,-0.0058460931,-8.6481878e-27,7288.0617,3.2020028e-05,-0.0080410251,-0.00049055383
