X:FY_Bushing-L1(N),Y:FY_Bushing-L1(N),Y:FY_Bushing-L2(N),Y:FY_Bushing-L3(N),Y:FY_Bushing-L4(N),Y:FY_Bushing-L5(N),Y:FY_Bushing-R1(N),Y:FY_Bushing-R2(N),Y:FY_Bushing-R3(N),Y:FY_Bushing-R4(N),Y:FY_Bushing-R5(N),Y:Pos1_Relative-ê¸°ë³µ?Œì „(deg),Y:Pos1_Relative-? íšŒ?Œì „(deg),Y:Pos_TY-?¸ì–‘ë¬?mm),Y:Pos_ROLL-?˜ë?ì²?deg),Y:Pos_PITCH-?˜ë?ì²?deg),Y:Pos_YAW-?˜ë?ì²?deg)
9.490253,463398.26,371315.72,251343.79,131074.57,38100.165,462815.42,370289.57,250083.56,129859.04,37277.633,2.16E-28,-2.07E-30,7288.4861,2.07E-05,-0.008921149,-0.0005268
9.500253,461609,369770.87,251070.47,132138.79,39606.786,461038.06,368779.48,249854.23,130960.53,38796.597,1.61E-27,2.78E-29,7288.4869,2.04E-05,-0.008380759,-0.000520612
9.510253,461381.23,369569.64,251021.73,132253.7,39781.736,460829.68,368610.39,249841.91,131107.54,38990.602,-5.03E-27,7.58E-30,7288.4872,2.05E-05,-0.007770536,-0.000519864
9.520253,463279.68,371189.83,251274.37,131077.3,38142.646,462759.92,370264.73,250127.39,129961.86,37382.073,1.59E-27,1.70E-30,7288.4865,2.08E-05,-0.007098552,-0.000526497
9.530253,462262.98,370310.31,251119.78,131685.11,39000.034,461749.07,369402.74,249995.15,130588.62,38245.471,-2.33E-26,-4.33E-30,7288.4873,2.07E-05,-0.006373706,-0.000522967
9.540253,461028.34,369255.49,250939.18,132421.42,40044.213,460515.71,368359.54,249830.75,131338.32,39291.244,-4.92E-28,-1.00E-29,7288.4881,2.05E-05,-0.00560523,-0.000518724
9.550253,462832.09,370791.44,251183.29,131315.15,38494.577,462342.41,369917.53,250094.7,130251.03,37763.628,2.00E-27,-4.24E-32,7288.4877,2.08E-05,-0.004802796,-0.000524987
9.560253,462869.39,370820.69,251182.05,131283.55,38455.309,462387.67,369959.06,250107.08,130231.51,37732.166,1.68E-27,6.49E-30,7288.4882,2.08E-05,-0.003976682,-0.000525131
9.570253,461056.96,369271.13,250923.85,132378.29,39997.652,460567.86,368411.49,249855.75,131331.01,39267.676,1.76E-27,-2.45E-29,7288.4895,2.05E-05,-0.003137245,-0.000518864
9.580253,462191.81,370233.89,251074.98,131681.86,39021.306,461719.02,369391.42,250023.14,130649.8,38307.057,-2.79E-26,2.73E-30,7288.4896,2.07E-05,-0.002294789,-0.000522795
9.590253,463229.73,371122.69,251213.22,131035.73,38124.601,462773.69,370298.97,250179.67,130020.61,37426.606,-1.39E-27,8.52E-30,7288.4898,2.09E-05,-0.001459889,-0.000526438
9.600253,461431.98,369579.54,250954.16,132122.94,39653.017,460971.34,368761.52,249931.45,131116.19,38950.805,7.97E-28,2.27E-29,7288.4913,2.06E-05,-0.000642993,-0.000520199
9.610253,461553.42,369678.07,250960.52,132035.42,39537.408,461106.22,368880.15,249959.91,131048.35,38848.32,-4.47E-28,3.60E-30,7288.492,2.07E-05,0.000145972,-0.00052064
9.620253,463230.82,371109.17,251180.8,130991.5,38087.036,462813.07,370346.15,250215.07,130036.39,37426.638,5.62E-27,-5.14E-30,7288.4921,2.09E-05,0.000897236,-0.000526512
