X:FY_Bushing-L1(N),Y:FY_Bushing-L1(N),Y:FY_Bushing-L2(N),Y:FY_Bushing-L3(N),Y:FY_Bushing-L4(N),Y:FY_Bushing-L5(N),Y:FY_Bushing-R1(N),Y:FY_Bushing-R2(N),Y:FY_Bushing-R3(N),Y:FY_Bushing-R4(N),Y:FY_Bushing-R5(N),Y:Pos1_Relative-ê¸°ë³µ?Œì „(deg),Y:Pos1_Relative-? íšŒ?Œì „(deg),Y:Pos_TY-?¸ì–‘ë¬?mm),Y:Pos_ROLL-?˜ë?ì²?deg),Y:Pos_PITCH-?˜ë?ì²?deg),Y:Pos_YAW-?˜ë?ì²?deg)
9.990253,419866.12,344896.42,259292.2,172669.71,94645.173,422991.78,348665.62,263234,176348.3,97659.914,4.9999858,2.32E-29,7725.1834,2.11E-05,-0.013558751,-0.000370826
10.000253,419202.4,344473.46,259261.25,173043.88,95299.513,422246.04,348132.7,263083.14,176609.92,98225.571,5,9.60E-09,7725.1925,2.08E-05,-0.012741919,-0.00036904
10.010253,420943.06,345731.09,259656.29,172510.46,94085.386,423906.76,349313.65,263402.98,176001.84,96937.298,5,1.58E-05,7725.1998,2.09E-05,-0.011865376,-0.000373064
10.020253,420980.6,345839.29,259838.6,172748.28,94338.086,423853.67,349309.66,263465.77,176126.69,97097.109,5,6.15E-05,7725.2074,2.07E-05,-0.010953574,-0.000372782
10.030253,419286.81,344689.63,259612.99,173495.88,95777.316,422056.55,348012,263076.08,176721.26,98420.012,5,0.00013724,7725.2155,2.03E-05,-0.010022355,-0.000368524
10.040253,421529.86,346201.03,259885.17,172466.03,93827.339,424205.99,349434.04,263259.94,175602.16,96379.153,5,0.000242937,7725.2224,2.04E-05,-0.009087748,-0.00037422
10.050253,419879.36,345131.38,259778.15,173359.07,95413.575,422434.14,348195.53,262967.33,176322.14,97832.568,5,0.000378593,7725.2302,2.00E-05,-0.008166594,-0.00036982
10.060253,420030.91,345298.81,259936.86,173491.26,95508.177,422471.39,348223.45,262977.69,176313.16,97808.947,5,0.000544199,7725.2373,1.98E-05,-0.007275113,-0.000369905
10.070253,421483.99,346309.4,260178.83,172916.74,94347.557,423822.44,349122.79,263104.83,175626.53,96545.841,5,0.000739745,7725.244,1.98E-05,-0.006429584,-0.000373461
10.080253,419272.51,344818.24,259907.24,173927.77,96268.059,421490.23,347461.3,262645.38,176462.41,98332.331,5,0.00096522,7725.2515,1.93E-05,-0.005646056,-0.000367847
10.090253,420929.47,345973.87,260195.19,173292.79,94966.069,423057.64,348521.66,262835.73,175731.69,96941.384,5,0.001220615,7725.2578,1.93E-05,-0.00493934,-0.000371864
10.100253,420742.65,345890.9,260264.85,173511.49,95277.793,422774.8,348318.34,262776.44,175828.11,97152.327,5,0.00150592,7725.2643,1.91E-05,-0.004324017,-0.000371191
