X:FY_Bushing-L1(N),Y:FY_Bushing-L1(N),Y:FY_Bushing-L2(N),Y:FY_Bushing-L3(N),Y:FY_Bushing-L4(N),Y:FY_Bushing-L5(N),Y:FY_Bushing-R1(N),Y:FY_Bushing-R2(N),Y:FY_Bushing-R3(N),Y:FY_Bushing-R4(N),Y:FY_Bushing-R5(N),Y:Pos1_Relative-ê¸°ë³µ?Œì „(deg),Y:Pos1_Relative-? íšŒ?Œì „(deg),Y:Pos_TY-?¸ì–‘ë¬?mm),Y:Pos_ROLL-?˜ë?ì²?deg),Y:Pos_PITCH-?˜ë?ì²?deg),Y:Pos_YAW-?˜ë?ì²?deg)
4.490253,437358.81,358385.91,264371.63,168420.93,83638.781,398653.08,310414.11,214010.09,122442.26,48711.855,6.73E-27,11.572583,7288.7034,-5.04E-05,-0.02891331,-0.000409998
4.500253,439847.59,360420.58,265205.69,167882.43,82130.301,400546.6,311305.08,213536.08,120809.16,46693.871,1.84E-27,11.619629,7288.7033,-5.19E-05,-0.027007635,-0.000415892
4.510253,434143.08,356066.93,263912.98,169963.75,86501.739,395150.52,308313.85,213934.69,124196.5,51282.729,7.59E-27,11.666749,7288.7059,-5.03E-05,-0.025125058,-0.000401221
4.520253,438284.09,359350.5,265143.25,168883.47,83792.282,398542.26,310013.3,213328.1,121599.48,47940.272,-2.11E-26,11.713943,7288.7053,-5.23E-05,-0.02327946,-0.000411179
4.530253,439706.15,360539.32,265674.93,168651.94,83009.322,399532.83,310437.15,212995.97,120636.08,46784.274,-1.26E-26,11.761212,7288.7056,-5.34E-05,-0.02148526,-0.000414439
4.540253,434417.46,356488.94,264444.09,170538.12,87026.233,394568.9,307708.44,213397.36,123789.09,51037.085,-2.53E-27,11.808554,7288.7081,-5.18E-05,-0.019755328,-0.000400901
4.550253,439101.11,360191.05,265796.61,169249.1,83879.824,398497.13,309704.52,212754.6,120866.45,47259.151,3.49E-26,11.85597,7288.7073,-5.40E-05,-0.018100308,-0.000412296
4.560253,439485.15,360549.69,266022.34,169303.58,83793.845,398619.53,309687.47,212572.66,120561.87,46941.842,-2.09E-27,11.903459,7288.708,-5.45E-05,-0.016530948,-0.000413001
4.570253,434757.94,356915.67,264891.34,170947.44,87346.465,394223.49,307291.62,212961.83,123392.46,50741.865,-2.62E-27,11.951022,7288.7103,-5.30E-05,-0.015055904,-0.000400962
4.580253,439796.01,360891.02,266316.77,169507.08,83895.756,398522.63,309497.23,212302.7,120257.39,46679.678,-1.84E-26,11.998658,7288.7094,-5.53E-05,-0.013681588,-0.000413332
4.590253,439201.83,360462.29,266245.53,169821.26,84459.185,397835.24,309075.08,212271.13,120578.57,47152.549,1.27E-26,12.046367,7288.7104,-5.53E-05,-0.012414201,-0.000411639
4.600253,435151.44,357335.76,265248.04,171190.49,87465.277,394109.43,307062.51,212632.5,123015.45,50407.397,-4.02E-28,12.09415,7288.7125,-5.39E-05,-0.011257532,-0.000401381
4.610253,440362.14,361443.65,266699.78,169657.38,83843.277,398614.2,309390.08,211974.86,119777.48,46206.884,-3.91E-26,12.142005,7288.7116,-5.62E-05,-0.01021328,-0.000414272
4.620253,438875.4,360293.52,266352.1,170201.96,84993.922,397193.7,308605.01,212085.88,120672.34,47400.455,4.17E-27,12.189933,7288.7129,-5.58E-05,-0.009282763,-0.000410396
4.630253,435586.17,357743.02,265517.01,171278.93,87399.557,394206.05,307006.16,212403.63,122661.43,50042.553,1.75E-27,12.237934,7288.7148,-5.46E-05,-0.008464804,-0.000402117
4.640253,440799.68,361851.97,266953.11,169711.43,83735.27,398756.87,309370.01,211762.43,119422.84,45839.947,2.99E-27,12.286007,7288.714,-5.69E-05,-0.007756464,-0.000415095
4.650253,438526.58,360065.19,266359.53,170455.88,85400.499,396693.14,308268.1,212001.07,120823.81,47668.074,1.86E-26,12.334152,7288.7157,-5.60E-05,-0.007154398,-0.000409301
4.660253,436052.4,358136.95,265710.59,171236.85,87179.28,394478.09,307094.34,212259.52,122328.01,49654.193,4.22E-27,12.38237,7288.7175,-5.50E-05,-0.006652929,-0.000403116
