X:FY_Bushing-L1(N),Y:FY_Bushing-L1(N),Y:FY_Bushing-L2(N),Y:FY_Bushing-L3(N),Y:FY_Bushing-L4(N),Y:FY_Bushing-L5(N),Y:FY_Bushing-R1(N),Y:FY_Bushing-R2(N),Y:FY_Bushing-R3(N),Y:FY_Bushing-R4(N),Y:FY_Bushing-R5(N),Y:Pos1_Relative-ê¸°ë³µ?Œì „(deg),Y:Pos1_Relative-? íšŒ?Œì „(deg),Y:Pos_TY-?¸ì–‘ë¬?mm)
4.010253,434037.22,345275.75,240714.86,137659.34,53413.986,431913.52,342400.98,237566.02,134750.11,51294.759,-1.0449262,-3.04E-30,7183.8911
4.020253,430377.54,342713.6,240379.13,139534.96,56341.928,428268.46,339904.84,237314.24,136691.8,54232.673,-1.0497399,-2.64E-29,7183.3994
4.030253,425082.87,339075.84,239898.93,142186.61,60573.308,422984.8,336342.42,236932.23,139419.76,58470.529,-1.0545626,-3.61E-30,7182.9073
4.040253,434044.47,345205.54,240554.07,137436.5,53199.302,432119.71,342590.32,237680.51,134774.43,51256.251,-1.0593942,-2.19E-29,7182.409
4.050253,430643.02,342810.39,240216.1,139145.13,55882.465,428774.73,340307.98,237474,136593.4,53986.801,-1.0642348,1.11E-29,7181.9143
4.060253,425311.04,339133.64,239712.7,141790.68,60110.05,423493,336750.08,237113.01,139356.67,58255.959,-1.0690843,-2.03E-30,7181.4193
4.070253,433988.93,345057.77,240316.29,137149.68,52943.163,432371.98,342845.38,237870.26,134871.03,51272.131,-1.0739427,1.55E-29,7180.9181
4.080253,430890.48,342862.59,239982.49,138670.74,55347.918,429369.08,340804.59,237709.44,136541.68,53759.345,-1.07881,3.56E-29,7180.4204
4.090253,425484.53,339124.13,239457.35,141334.18,59604.609,424048.57,337220.67,237362.03,139356.84,58089.294,-1.0836862,-5.98E-31,7179.9224
4.100253,433877.04,344841.88,240012.64,136809.88,52654.181,432660.71,343154.71,238124.21,135030.98,51336.765,-1.0885712,3.48E-29,7179.4184
4.110253,431126.47,342880.64,239691.53,138125.91,54750.579,430037.61,341379.59,238007.04,136526.46,53544.383,-1.0934651,5.23E-29,7178.9175
4.120253,425617.77,339064.02,239149.01,140830.46,59066.076,424641.74,337740.78,237663.83,139404.93,57958.108,-1.0983678,1.03E-29,7178.4166
4.130253,433719.22,344573.35,239661.5,136435.37,52346.608,432969.74,343498.94,238423.78,135239.39,51440.899,-1.1032794,3.99E-29,7177.9097
4.140253,431361.28,342880.59,239363.14,137531.41,54107.885,430760.43,342010.75,238346.37,136532.05,53332.599,-1.1081997,6.84E-31,7177.4057
4.150253,425729.31,338975.53,238809.78,140298.39,58507.664,425258.04,338291.12,237996.9,139480.31,57846.312,-1.1131289,1.33E-29,7176.9019
4.160253,433528.9,344272.16,239286.57,136049.56,52038.589,433278.37,343853.19,238744.95,135476.97,51572.551,-1.1180668,-6.10E-30,7176.3921
4.170253,431607.57,342882.15,239021.71,136912.47,53440.66,431513.71,342670.99,238702.39,136539.16,53112.555,-1.1230135,-2.93E-29,7175.885
4.180253,425840.44,338884.36,238465.38,139760.02,57944.74,425880.56,338849.12,238336.13,139559.07,57735.452,-1.1279689,-7.83E-30,7175.3783
