X:FY_Bushing-L1(N),Y:FY_Bushing-L1(N),Y:FY_Bushing-L2(N),Y:FY_Bushing-L3(N),Y:FY_Bushing-L4(N),Y:FY_Bushing-L5(N),Y:FY_Bushing-R1(N),Y:FY_Bushing-R2(N),Y:FY_Bushing-R3(N),Y:FY_Bushing-R4(N),Y:FY_Bushing-R5(N),Y:Pos1_Relative-ê¸°ë³µ?Œì „(deg),Y:Pos1_Relative-? íšŒ?Œì „(deg),Y:Pos_TY-?¸ì–‘ë¬?mm),Y:Pos_ROLL-?˜ë?ì²?deg),Y:Pos_PITCH-?˜ë?ì²?deg),Y:Pos_YAW-?˜ë?ì²?deg)
3.290253,378134.97,306961.69,231021.96,156659.22,90216.904,375024.18,303445.24,227393.17,153222.49,87287.714,-1.72E-26,9.7589286,7291.6628,9.31E-06,-0.10076847,-0.000322661
3.300253,374215.68,304684.48,230832.84,158485.96,93469.037,371043.35,301128.03,227172.38,155011.56,90480.73,-1.11E-26,9.814663,7291.6336,8.87E-06,-0.10040652,-0.000313621
3.310253,378430.38,307443.25,231668.17,157410.14,90974.145,374139.79,302621.4,226718.64,152745.24,87014.968,3.49E-26,9.8705331,7291.6022,7.49E-06,-0.099965747,-0.000321981
3.320253,376990.82,306695.7,231784.63,158346.27,92469.277,372323.36,301473.17,226434.52,153303.76,88177.222,2.29E-28,9.9265387,7291.5723,6.78E-06,-0.099459528,-0.000318246
3.330253,375689.3,306030.94,231908.43,159217.55,93854.061,370637.99,300400.75,226150.82,153790.65,89222.667,9.92E-27,9.9826795,7291.5424,6.08E-06,-0.098897475,-0.000314839
3.340253,379668.53,308648.71,232714.81,158218.22,91510.331,373540.8,301786.36,225698.5,151633.9,85949.251,-1.21E-27,10.038955,7291.5108,4.73E-06,-0.098289386,-0.000322726
3.350253,375983.9,306492.94,232516.99,159919.36,94563.34,369812.5,299632.27,225516.7,153333.69,88951.146,1.04E-26,10.095366,7291.4811,4.37E-06,-0.097648557,-0.000314234
3.360253,378088.73,307937.53,233069.59,159569.76,93522.859,371114.22,300166.97,225142.49,152129.02,87214.764,-1.82E-26,10.151912,7291.4496,3.29E-06,-0.096982731,-0.000318126
3.370253,379390.64,308881.55,233510.35,159490.27,93034.516,371731.97,300339.07,224797.99,151324.17,86133.058,5.93E-27,10.208591,7291.4179,2.32E-06,-0.096303192,-0.000320332
3.380253,376184.14,307005.5,233336.52,160970.72,95701.598,368473.48,298459.08,224635.2,152797.12,88740.106,-4.01E-27,10.265406,7291.3871,2.01E-06,-0.095620055,-0.000312947
3.390253,380169.33,309618.01,234124.47,159936.49,93301.82,371445.37,299891.73,224212.88,150656.81,85471.532,-3.24E-26,10.322354,7291.3538,7.18E-07,-0.094939694,-0.000320901
3.400253,378296.4,308560.81,234107.5,160924.68,95000.586,369380.06,298659.63,224029.45,151477.46,86991.596,1.35E-27,10.379436,7291.3217,2.91E-07,-0.09427245,-0.000316388
3.410253,377766.08,308337.88,234257.63,161423.15,95732.314,368497.57,298062.1,223804.68,151622.19,87411.498,5.67E-27,10.436651,7291.2887,-2.89E-07,-0.093623765,-0.000314779
3.420253,380997.46,310470.41,234918.7,160609.76,93811.001,370874.04,299191.5,223434.97,149869.43,84759.911,-9.15E-28,10.494001,7291.2542,-1.40E-06,-0.092998942,-0.000321204
3.430253,377550.75,308404.37,234639.76,162080.43,96549.875,367531,297313.36,223366.24,151510.8,87568.181,2.35E-27,10.551483,7291.221,-1.46E-06,-0.092404595,-0.000313433
3.440253,379953.95,310004.88,235165.05,161524.48,95173.216,369240.84,298104.02,223060.33,150196.23,85598.185,-1.65E-26,10.609098,7291.1857,-2.38E-06,-0.091841747,-0.00031813
3.450253,380514.08,310443.28,235419.79,161581.06,95064.533,369388.74,298078.43,222843.42,149816.83,85131.768,-5.11E-27,10.666847,7291.1503,-2.99E-06,-0.091313986,-0.000318944
3.460253,377986.84,308931.37,235220.46,162667.92,97087.581,366918.31,296688.16,222783.21,151013.05,87187.262,-7.53E-28,10.724727,7291.1153,-3.05E-06,-0.090822392,-0.000313235
