X:FY_Bushing-L1(N),Y:FY_Bushing-L1(N),Y:FY_Bushing-L2(N),Y:FY_Bushing-L3(N),Y:FY_Bushing-L4(N),Y:FY_Bushing-L5(N),Y:FY_Bushing-R1(N),Y:FY_Bushing-R2(N),Y:FY_Bushing-R3(N),Y:FY_Bushing-R4(N),Y:FY_Bushing-R5(N),Y:Pos1_Relative-기복회전(deg),Y:Pos1_Relative-선회회전(deg),Y:Pos_TY-인양물(mm),Y:Pos_ROLL-하부체(deg),Y:Pos_PITCH-하부체(deg),Y:Pos_YAW-하부체(deg)
0.00000000,1.5042048e-20,7.5842909e-21,1.2811115e-22,-7.3280686e-21,-1.4784248e-20,1.5013342e-14,1.5013335e-14,1.5013327e-14,1.5013320e-14,1.5013312e-14,0.00000000,-0.00000000,7288.7515,0.00000000,-0.00000000,0.00000000
0.010229000,499999.62,442773.29,196294.89,6330.5495,-3.3971010,499999.65,453577.98,212610.80,10949.976,-3.3710219,1.3734266e-24,7.0602816e-05,7288.5657,7.0705601e-05,-9.0021733e-05,-0.0011453601
0.020253000,500001.81,500001.57,36184.432,1.0827210,0.84103980,500001.84,500001.60,54361.098,1.1176185,0.87547543,3.4764213e-23,0.00027668729,7288.3918,0.00015698156,-0.00043219874,-0.0027520149
0.030253000,500000.23,500000.18,500000.13,123125.60,0.031825967,500000.23,500000.18,500000.13,174012.83,0.033695457,-5.9257699e-24,0.00061716671,7288.2380,0.00020547837,-0.0010333355,-0.0030662219
0.040253000,499998.34,499998.45,111852.19,-1.3293814,-1.2208042,499998.32,499998.43,142722.52,-1.3572501,-1.2483814,6.1586602e-23,0.0010922377,7288.3331,0.00017818617,-0.0019286462,-0.0030999069
0.050253000,500000.10,413524.73,22593.234,2.0080858,2.6456140,500000.06,438119.94,39371.042,1.9770700,2.6153954,-2.0238375e-23,0.0017017653,7288.4958,0.00012568556,-0.0030758373,-0.0019239736
0.060253000,259204.82,229918.10,200876.92,172439.31,144963.31,258154.62,228851.41,199807.15,171380.57,143930.41,1.1534223e-22,0.0024456145,7288.6895,3.7762580e-06,-0.0044611625,-0.00012377585
0.070253000,490572.59,468949.75,437021.16,396865.18,350560.17,490208.46,468306.35,436132.35,395769.45,349300.64,-9.9538074e-25,0.0033236502,7288.6418,7.7005646e-06,-0.0059980192,-0.00022246492
0.080253000,500001.23,417183.29,21058.811,0.18312224,-0.16727729,500001.24,440721.23,36897.631,0.18695582,-0.16379073,-1.3105416e-23,0.0043357376,7288.4887,0.00012608073,-0.0076967275,-0.0019586691
0.090253000,500000.42,500000.37,499996.52,61865.686,0.21566518,500000.46,500000.40,500000.35,85268.734,0.24796722,-3.1768003e-24,0.0054817415,7288.3369,0.00014877161,-0.0095900616,-0.0024672287
0.10025300,499998.72,499998.86,138516.85,-0.86921147,-0.73383072,499998.68,499998.82,188136.65,-0.91327174,-0.77746318,5.4145159e-23,0.0067615270,7288.4029,0.00017440618,-0.011683804,-0.0024380939
0.11025300,499999.95,463524.40,211753.81,5699.2155,2.4437283,499999.94,464370.77,213010.43,5937.0242,2.4397443,3.1346475e-23,0.0081749591,7288.5452,5.3678690e-05,-0.013953548,-0.0012224405
