lift_weight(ton),lift_height(m),rising_angle(deg),swing_angle(deg),left_ground_pressure_max(kg/cm2),left_ground_pressure_min(kg/cm2),left_pressure_length(m),right_ground_pressure_max(kg/cm2),right_ground_pressure_min(kg/cm2),right_pressure_length(m),left-0.0m,left-0.675m,left-1.35m,left-2.025m,left-2.7m,left-3.375m,left-4.05m,left-4.725m,left-5.4m,left-6.075m,left-6.75m,right-0.0m,right-0.675m,right-1.35m,right-2.025m,right-2.7m,right-3.375m,right-4.05m,right-4.725m,right-5.4m,right-6.075m,right-6.75m
1,1,30,0,3.97,0,3.72,3.97,0,3.72,3.97,3.25,2.529,1.809,1.089,0.368,0,0,0,0,0,3.97,3.25,2.529,1.809,1.089,0.368,0,0,0,0,0
1,1,30,20,2.61,0,4.1,4.58,0,4.1,2.61,2.18,1.751,1.321,0.891,0.462,0.032,0,0,0,0,4.58,3.826,3.072,2.318,1.564,0.81,0.056,0,0,0,0
1,1,30,45,1.15,0,5.59,4.13,0,5.59,1.15,1.011,0.872,0.733,0.595,0.456,0.317,0.178,0.039,0,0,4.13,3.631,3.133,2.634,2.135,1.636,1.138,0.639,0.14,0,0
1,1,40,0,2.93,0,5.04,2.93,0,5.04,2.93,2.538,2.145,1.753,1.36,0.968,0.576,0.183,0,0,0,2.93,2.538,2.145,1.753,1.36,0.968,0.576,0.183,0,0,0
1,1,40,20,2.16,0,5.34,3.36,0,5.34,2.16,1.887,1.614,1.341,1.068,0.795,0.522,0.249,0,0,0,3.36,2.935,2.511,2.086,1.661,1.236,0.812,0.387,0,0,0
1,1,40,45,1.25,0,6.53,3.27,0,6.53,1.25,1.121,0.992,0.862,0.733,0.604,0.475,0.346,0.216,0.087,0,3.27,2.932,2.594,2.256,1.918,1.58,1.242,0.904,0.566,0.228,0
1,1,50,0,2.21,0,6.68,2.21,0,6.68,2.21,1.987,1.763,1.54,1.317,1.093,0.87,0.647,0.423,0.2,0,2.21,1.987,1.763,1.54,1.317,1.093,0.87,0.647,0.423,0.2,0
1,1,50,20,1.83,0.04,6.75,2.46,0.05,6.75,1.83,1.651,1.472,1.293,1.114,0.935,0.756,0.577,0.398,0.219,0.04,2.46,2.219,1.978,1.737,1.496,1.255,1.014,0.773,0.532,0.291,0.05
1,1,50,45,1.31,0.21,6.75,2.45,0.39,6.75,1.31,1.2,1.09,0.98,0.87,0.76,0.65,0.54,0.43,0.32,0.21,2.45,2.244,2.038,1.832,1.626,1.42,1.214,1.008,0.802,0.596,0.39
1,5,30,0,3.95,0,3.73,3.95,0,3.73,3.95,3.235,2.52,1.806,1.091,0.376,0,0,0,0,0,3.95,3.235,2.52,1.806,1.091,0.376,0,0,0,0,0
1,5,30,20,2.61,0,4.12,4.56,0,4.12,2.61,2.182,1.755,1.327,0.9,0.472,0.044,0,0,0,0,4.56,3.813,3.066,2.319,1.572,0.825,0.077,0,0,0,0
1,5,30,45,1.15,0,5.61,4.11,0,5.61,1.15,1.012,0.873,0.735,0.597,0.458,0.32,0.181,0.043,0,0,4.11,3.615,3.121,2.626,2.132,1.637,1.143,0.648,0.154,0,0
1,5,40,0,2.92,0,5.05,2.92,0,5.05,2.92,2.53,2.139,1.749,1.359,0.969,0.578,0.188,0,0,0,2.92,2.53,2.139,1.749,1.359,0.969,0.578,0.188,0,0,0
1,5,40,20,2.16,0,5.36,3.35,0,5.36,2.16,1.888,1.616,1.344,1.072,0.8,0.528,0.256,0,0,0,3.35,2.928,2.506,2.084,1.663,1.241,0.819,0.397,0,0,0
1,5,40,45,1.25,0,6.54,3.26,0,6.54,1.25,1.121,0.992,0.863,0.734,0.605,0.476,0.347,0.218,0.089,0,3.26,2.924,2.587,2.251,1.914,1.578,1.241,0.905,0.568,0.232,0
1,5,50,0,2.21,0,6.69,2.21,0,6.69,2.21,1.987,1.764,1.541,1.318,1.095,0.872,0.649,0.426,0.203,0,2.21,1.987,1.764,1.541,1.318,1.095,0.872,0.649,0.426,0.203,0
1,5,50,20,1.82,0.04,6.75,2.45,0.05,6.75,1.82,1.642,1.464,1.286,1.108,0.93,0.752,0.574,0.396,0.218,0.04,2.45,2.21,1.97,1.73,1.49,1.25,1.01,0.77,0.53,0.29,0.05
1,5,50,45,1.31,0.21,6.75,2.45,0.4,6.75,1.31,1.2,1.09,0.98,0.87,0.76,0.65,0.54,0.43,0.32,0.21,2.45,2.245,2.04,1.835,1.63,1.425,1.22,1.015,0.81,0.605,0.4
1,10,30,0,3.93,0,3.75,3.93,0,3.75,3.93,3.223,2.515,1.808,1.1,0.393,0,0,0,0,0,3.93,3.223,2.515,1.808,1.1,0.393,0,0,0,0,0
1,10,30,20,2.6,0,4.14,4.53,0,4.14,2.6,2.176,1.752,1.328,0.904,0.48,0.057,0,0,0,0,4.53,3.791,3.053,2.314,1.576,0.837,0.098,0,0,0,0
